BR 0,0,0,0,0,3,11
R 0,0,0,1,0,3,8
R 0,0,0,1,0,3,9
R 0,0,0,1,0,3,10
R 0,0,0,1,0,3,11
BW 0,0,0,1,0,3,8
BW 0,0,0,1,0,3,9
BW 0,0,0,1,0,3,10
BW 0,0,0,1,0,3,11
BR 0,0,0,0,0,3,12
BR 0,0,0,0,0,3,13
BR 0,0,0,0,0,3,14
BR 0,0,0,0,0,3,15
R 0,0,0,1,0,3,12
R 0,0,0,1,0,3,13
R 0,0,0,1,0,3,14
R 0,0,0,1,0,3,15
BW 0,0,0,1,0,3,12
BW 0,0,0,1,0,3,13
BW 0,0,0,1,0,3,14
BW 0,0,0,1,0,3,15
BR 0,0,0,0,0,3,16
BR 0,0,0,0,0,3,17
BR 0,0,0,0,0,3,18
BR 0,0,0,0,0,3,19
R 0,0,0,1,0,3,16
R 0,0,0,1,0,3,17
R 0,0,0,1,0,3,18
R 0,0,0,1,0,3,19
BW 0,0,0,1,0,3,16
BW 0,0,0,1,0,3,17
BW 0,0,0,1,0,3,18
BW 0,0,0,1,0,3,19
BR 0,0,0,0,0,3,20
BR 0,0,0,0,0,3,21
BR 0,0,0,0,0,3,22
BR 0,0,0,0,0,3,23
R 0,0,0,1,0,3,20
R 0,0,0,1,0,3,21
R 0,0,0,1,0,3,22
R 0,0,0,1,0,3,23
BW 0,0,0,1,0,3,20
BW 0,0,0,1,0,3,21
BW 0,0,0,1,0,3,22
BW 0,0,0,1,0,3,23
BR 0,0,0,0,0,3,24
BR 0,0,0,0,0,3,25
BR 0,0,0,0,0,3,26
BR 0,0,0,0,0,3,27
R 0,0,0,1,0,3,24
R 0,0,0,1,0,3,25
R 0,0,0,1,0,3,26
R 0,0,0,1,0,3,27
BW 0,0,0,1,0,3,24
BW 0,0,0,1,0,3,25
BW 0,0,0,1,0,3,26
BW 0,0,0,1,0,3,27
BR 0,0,0,0,0,3,28
BR 0,0,0,0,0,3,29
BR 0,0,0,0,0,3,30
BR 0,0,0,0,0,3,31
R 0,0,0,1,0,3,28
R 0,0,0,1,0,3,29
R 0,0,0,1,0,3,30
R 0,0,0,1,0,3,31
BW 0,0,0,1,0,3,28
BW 0,0,0,1,0,3,29
BW 0,0,0,1,0,3,30
BW 0,0,0,1,0,3,31
BR 0,0,0,0,0,3,32
BR 0,0,0,0,0,3,33
BR 0,0,0,0,0,3,34
BR 0,0,0,0,0,3,35
R 0,0,0,1,0,3,32
R 0,0,0,1,0,3,33
R 0,0,0,1,0,3,34
R 0,0,0,1,0,3,35
BW 0,0,0,1,0,3,32
BW 0,0,0,1,0,3,33
BW 0,0,0,1,0,3,34
BW 0,0,0,1,0,3,35
BR 0,0,0,0,0,3,36
BR 0,0,0,0,0,3,37
BR 0,0,0,0,0,3,38
BR 0,0,0,0,0,3,39
R 0,0,0,1,0,3,36
R 0,0,0,1,0,3,37
R 0,0,0,1,0,3,38
R 0,0,0,1,0,3,39
BW 0,0,0,1,0,3,36
BW 0,0,0,1,0,3,37
BW 0,0,0,1,0,3,38
BW 0,0,0,1,0,3,39
BR 0,0,0,0,0,3,40
BR 0,0,0,0,0,3,41
BR 0,0,0,0,0,3,42
BR 0,0,0,0,0,3,43
R 0,0,0,1,0,3,40
R 0,0,0,1,0,3,41
R 0,0,0,1,0,3,42
R 0,0,0,1,0,3,43
BW 0,0,0,1,0,3,40
BW 0,0,0,1,0,3,41
BW 0,0,0,1,0,3,42
BW 0,0,0,1,0,3,43
BR 0,0,0,0,0,3,44
BR 0,0,0,0,0,3,45
BR 0,0,0,0,0,3,46
BR 0,0,0,0,0,3,47
R 0,0,0,1,0,3,44
R 0,0,0,1,0,3,45
R 0,0,0,1,0,3,46
R 0,0,0,1,0,3,47
BW 0,0,0,1,0,3,44
BW 0,0,0,1,0,3,45
BW 0,0,0,1,0,3,46
BW 0,0,0,1,0,3,47
BR 0,0,0,0,0,3,48
BR 0,0,0,0,0,3,49
BR 0,0,0,0,0,3,50
BR 0,0,0,0,0,3,51
R 0,0,0,1,0,3,48
R 0,0,0,1,0,3,49
R 0,0,0,1,0,3,50
R 0,0,0,1,0,3,51
BW 0,0,0,1,0,3,48
BW 0,0,0,1,0,3,49
BW 0,0,0,1,0,3,50
BW 0,0,0,1,0,3,51
BR 0,0,0,0,0,3,52
BR 0,0,0,0,0,3,53
BR 0,0,0,0,0,3,54
BR 0,0,0,0,0,3,55
R 0,0,0,1,0,3,52
R 0,0,0,1,0,3,53
R 0,0,0,1,0,3,54
R 0,0,0,1,0,3,55
BW 0,0,0,1,0,3,52
BW 0,0,0,1,0,3,53
BW 0,0,0,1,0,3,54
BW 0,0,0,1,0,3,55
BR 0,0,0,0,0,3,56
BR 0,0,0,0,0,3,57
BR 0,0,0,0,0,3,58
BR 0,0,0,0,0,3,59
R 0,0,0,1,0,3,56
R 0,0,0,1,0,3,57
R 0,0,0,1,0,3,58
R 0,0,0,1,0,3,59
BW 0,0,0,1,0,3,56
BW 0,0,0,1,0,3,57
BW 0,0,0,1,0,3,58
BW 0,0,0,1,0,3,59
BR 0,0,0,0,0,3,60
